datetime;boats;birds;brightness;flag;boats_rolled;boats_polygon
2022-08-25 00:00:00;0.0;0.0;10.326296296296295;;0.0;0.0
2022-08-25 00:10:00;0.0;0.0;10.395599681712962;;0.0;0.0
2022-08-25 00:20:00;0.0;0.0;10.13123505015432;;0.0;0.0
2022-08-25 00:30:00;0.0;0.0;10.104833381558642;;0.0;0.0
2022-08-25 00:40:00;0.0;0.0;9.557084297839506;;0.0;0.0
2022-08-25 00:50:00;0.0;0.0;9.531382619598764;;0.0;0.0
2022-08-25 01:00:00;0.0;0.0;9.404907407407407;;0.0;0.0
2022-08-25 01:10:00;0.0;0.0;9.527617669753086;;0.0;0.0
2022-08-25 01:20:00;0.0;0.0;9.511961805555556;;0.0;0.0
2022-08-25 01:30:00;0.0;0.0;9.423616657021606;;0.0;0.0
2022-08-25 01:40:00;0.0;0.0;9.420316599151235;;0.0;0.0
2022-08-25 01:50:00;0.0;0.0;9.64531684027778;;0.0;0.0
2022-08-25 02:00:00;0.0;0.0;9.69258101851852;;0.0;0.0
2022-08-25 02:10:00;0.0;0.0;9.602742332175925;;0.0;0.0
2022-08-25 02:20:00;0.0;0.0;9.545760513117283;;0.0;0.0
2022-08-25 02:30:00;0.0;0.0;9.438113908179012;;0.0;
2022-08-25 02:40:00;0.0;0.0;9.498341290509257;;0.0;
2022-08-25 02:50:00;0.0;0.0;9.715085117669753;;0.0;
2022-08-25 03:00:00;0.0;0.0;9.801037085262346;;0.0;
2022-08-25 03:10:00;0.0;0.0;9.77671778549383;;0.0;
2022-08-25 03:20:00;0.0;0.0;10.074104456018517;;0.0;
2022-08-25 03:30:00;;;;;0.0;
2022-08-25 03:40:00;;;;;0.0;
2022-08-25 03:50:00;;;;;0.0;
2022-08-25 04:00:00;;;;;0.0;
2022-08-25 04:10:00;;;;;0.0;
2022-08-25 04:20:00;;;;;0.0;
2022-08-25 04:30:00;;;;;;
2022-08-25 04:40:00;;;;;;
2022-08-25 04:50:00;;;;;;
2022-08-25 05:00:00;;;;;;
2022-08-25 05:10:00;;;;;;
2022-08-25 05:20:00;;;;;;
2022-08-25 05:30:00;;;;;;
2022-08-25 05:40:00;;;;;;
2022-08-25 05:50:00;;;;;;
2022-08-25 06:00:00;;;;;;
2022-08-25 06:10:00;;;;;;
2022-08-25 06:20:00;;;;;;
2022-08-25 06:30:00;;;;;;
2022-08-25 06:40:00;;;;;;
2022-08-25 06:50:00;;;;;;
2022-08-25 07:00:00;;;;;;
2022-08-25 07:10:00;;;;;;
2022-08-25 07:20:00;;;;;;
2022-08-25 07:30:00;;;;;;
2022-08-25 07:40:00;;;;;;
2022-08-25 07:50:00;;;;;;
2022-08-25 08:00:00;;;;;;
2022-08-25 08:10:00;;;;;;
2022-08-25 08:20:00;;;;;;
2022-08-25 08:30:00;;;;;;
2022-08-25 08:40:00;;;;;;
2022-08-25 08:50:00;;;;;;
2022-08-25 09:00:00;;;;;;
2022-08-25 09:10:00;;;;;;
2022-08-25 09:20:00;;;;;;
2022-08-25 09:30:00;;;;;;
2022-08-25 09:40:00;;;;;;
2022-08-25 09:50:00;;;;;;
2022-08-25 10:00:00;;;;;;
2022-08-25 10:10:00;;;;;;
2022-08-25 10:20:00;;;;;;
2022-08-25 10:30:00;;;;;;
2022-08-25 10:40:00;;;;;;
2022-08-25 10:50:00;;;;;;
2022-08-25 11:00:00;;;;;8.2;
2022-08-25 11:10:00;;;;;7.666666666666667;
2022-08-25 11:20:00;;;;;7.142857142857143;
2022-08-25 11:30:00;;;;;6.6875;
2022-08-25 11:40:00;;;;;6.444444444444445;
2022-08-25 11:50:00;9.0;0.0;133.90996913580247;;6.3;
2022-08-25 12:00:00;4.5;0.0;132.68540822723764;;5.909090909090909;
2022-08-25 12:10:00;7.0;0.0;136.83067828896606;;5.791666666666667;
2022-08-25 12:20:00;9.5;0.0;136.34393904320987;;5.615384615384615;
2022-08-25 12:30:00;11.0;0.0;137.0225870466821;;5.714285714285714;
2022-08-25 12:40:00;5.0;0.0;137.68321976273148;;5.933333333333334;
2022-08-25 12:50:00;4.0;0.0;141.6623136091821;;6.53125;
2022-08-25 13:00:00;3.5;0.5;142.80630835262346;;6.794117647058823;6.541822042021724
2022-08-25 13:10:00;4.5;0.0;144.25743055555557;;7.111111111111111;6.704651638418973
2022-08-25 13:20:00;5.0;0.0;140.4206274112654;;7.2894736842105265;6.8748461006420944
2022-08-25 13:30:00;2.0;0.0;144.68135681905864;;7.425;7.047980307918144
2022-08-25 13:40:00;4.5;0.0;136.22497998649692;;7.55;7.244721387001204
2022-08-25 13:50:00;3.5;0.0;138.04137659143518;;8.0;7.484104189513084
2022-08-25 14:00:00;7.0;0.0;137.78005931712966;;8.3;7.775846106758131
2022-08-25 14:10:00;9.0;0.0;139.44371286651233;;8.625;8.115953091988676
2022-08-25 14:20:00;15.5;0.0;139.4705420524691;;8.475;8.537677231282888
2022-08-25 14:30:00;11.0;0.0;140.10370852623458;;8.675;9.025765458865965
2022-08-25 14:40:00;12.5;0.0;140.96052975501544;;9.0;9.598843440537488
2022-08-25 14:50:00;10.5;0.0;140.7576724054784;;9.375;10.250209896900522
2022-08-25 15:00:00;10.0;0.0;141.754263599537;;9.75;11.010121211667974
2022-08-25 15:10:00;11.5;0.0;139.16939043209877;;11.125;11.877008023278792
2022-08-25 15:20:00;13.5;0.0;141.88685353973767;;12.325;12.836253750317807
2022-08-25 15:30:00;13.0;0.0;141.06688802083335;;13.775;13.86704347826085
2022-08-25 15:40:00;16.0;0.0;141.0331450135031;;15.1;14.952845410627997
2022-08-25 15:50:00;8.0;0.0;139.80624493634258;;16.45;16.09225603864732
2022-08-25 16:00:00;9.0;0.0;145.9777522183642;;17.9;17.293603864734273
2022-08-25 16:10:00;10.5;0.5;142.3062405960648;;19.25;18.54214975845408
2022-08-25 16:20:00;11.0;0.0;138.8978421585648;;20.275;19.851913043478234
2022-08-25 16:30:00;12.0;0.0;138.11494502314815;;21.4;21.210280193236684
2022-08-25 16:40:00;32.5;0.0;136.31293619791666;;22.4;22.597347826086928
2022-08-25 16:50:00;26.0;0.0;134.40467423804012;;23.6;23.969526570048274
2022-08-25 17:00:00;33.5;0.0;138.2015178915895;;24.75;25.266299516908177
2022-08-25 17:10:00;30.0;0.5;136.8669921875;;25.575;26.44443478260866
2022-08-25 17:20:00;34.0;0.0;136.22237798996915;;26.575;27.52786956521735
2022-08-25 17:30:00;38.0;0.5;135.38722198109568;;27.675;28.476618357487887
2022-08-25 17:40:00;42.5;0.0;134.3576099537037;;28.875;29.244739130434738
2022-08-25 17:50:00;31.5;0.0;134.4391958429784;;29.9;29.81703381642508
2022-08-25 18:00:00;35.0;0.0;133.12909770447533;;30.925;30.166574879227007
2022-08-25 18:10:00;30.5;0.0;135.8562432484568;;31.85;30.303062801932324
2022-08-25 18:20:00;34.0;0.0;138.42020375192902;;32.2;30.218531400966143
2022-08-25 18:30:00;34.5;0.0;137.6938888888889;;31.5;29.87928019323667
2022-08-25 18:40:00;30.0;0.5;138.50713204089504;;30.4;29.303449275362276
2022-08-25 18:50:00;33.0;0.0;138.3743096547068;;29.075;28.501787439613487
2022-08-25 19:00:00;38.0;0.0;140.07337890625;;27.775;27.47843961352653
2022-08-25 19:10:00;32.0;0.0;141.08717785493826;;26.175;26.245333333333292
2022-08-25 19:20:00;29.5;0.5;140.8592399691358;;24.325;24.810971014492722
2022-08-25 19:30:00;31.0;0.0;139.77666956018518;;22.275;23.207971014492717
2022-08-25 19:40:00;29.5;0.0;140.1133564814815;;20.725;21.452294685990303
2022-08-25 19:50:00;19.0;0.0;140.36999517746915;;18.975;19.603405797101424
2022-08-25 20:00:00;18.5;0.5;139.94749686535494;;17.45;17.673584541062777
2022-08-25 20:10:00;4.0;0.0;137.79377266589506;;15.75;15.746323671497564
2022-08-25 20:20:00;7.0;1.0;138.1920244984568;;14.025;13.882178743961333
2022-08-25 20:30:00;4.0;0.0;136.7203474633488;;12.525;12.112449783879974
2022-08-25 20:40:00;2.0;0.0;135.13504002700617;;10.875;10.426371867672389
2022-08-25 20:50:00;1.0;0.0;131.05993224344135;;8.975;8.839051200749804
2022-08-25 21:00:00;1.5;0.0;127.1647600790895;;7.375;7.361640383282722
2022-08-25 21:10:00;0.5;0.0;116.29568793402778;;5.9;6.017995908593111
2022-08-25 21:20:00;0.0;0.0;87.60296127507716;;4.35;4.8084752646036755
2022-08-25 21:30:00;0.0;0.0;47.212612847222225;;2.875;3.726749948898956
2022-08-25 21:40:00;0.0;0.0;26.578799189814816;;1.925;2.7605301064064895
2022-08-25 21:50:00;0.0;0.0;20.858621961805554;;1.0;1.9398640463050192
2022-08-25 22:00:00;0.0;0.0;18.79522931134259;;0.8;1.2656409614052038
2022-08-25 22:10:00;0.0;0.0;17.82339168595679;;0.45;0.7043125507676713
2022-08-25 22:20:00;0.0;0.0;17.778402295524693;;0.25;0.2529245402623488
2022-08-25 22:30:00;0.0;0.0;17.920637297453705;;0.15789473684210525;-0.09147734424082543
2022-08-25 22:40:00;0.0;0.0;17.117112750771604;;0.1111111111111111;-0.3318473768719272
2022-08-25 22:50:00;0.0;0.0;17.03603226273148;;0.029411764705882353;-0.47113983176102536
2022-08-25 23:00:00;0.0;0.0;16.739274691358023;;0.0;-0.5123089830381993
2022-08-25 23:10:00;0.0;0.0;16.871281105324073;;0.0;-0.45830910483351417
2022-08-25 23:20:00;0.0;0.0;16.851110146604938;;0.0;-0.3120944712770424
2022-08-25 23:30:00;0.0;0.0;16.76375843942901;;0.0;-0.0766193564988562
2022-08-25 23:40:00;0.0;0.0;17.624251784336423;;0.0;0.24516196537097557
2022-08-25 23:50:00;0.0;0.0;19.109820842978394;;0.0;0.65029522020237
