datetime;boats;birds;brightness;flag;boats_rolled;boats_polygon
2022-08-20 05:30:00;0.0;0.0;103.41140142746912;1.0;0.25;0.09306218450562348
2022-08-20 05:40:00;0.0;0.0;113.13480034722221;0.0;0.22727272727272727;0.17839288762449068
2022-08-20 05:50:00;0.5;0.0;118.55451726466049;1.0;0.20833333333333334;0.24154280351863547
2022-08-20 06:00:00;0.0;0.0;120.83815248842592;0.5;0.19230769230769232;0.2856697533580804
2022-08-20 06:10:00;0.5;0.0;123.48194058641974;0.5;0.17857142857142858;0.3139315583128481
2022-08-20 06:20:00;1.0;0.0;123.18630931712964;0.0;0.2;0.3294860395529611
2022-08-20 06:30:00;0.5;0.0;129.5048174672068;1.0;0.21875;0.335491018248442
2022-08-20 06:40:00;0.0;0.0;130.59866681134258;0.0;0.35294117647058826;0.33510431556931336
2022-08-20 06:50:00;0.0;0.0;130.61006341628087;0.0;0.3611111111111111;0.33148375268559777
2022-08-20 07:00:00;0.0;0.0;131.3395975597994;1.0;0.34210526315789475;0.3277871507673178
2022-08-20 07:10:00;0.0;0.0;134.3093520929784;1.0;0.375;0.327172330984496
2022-08-20 07:20:00;0.0;0.0;132.64653260030866;0.0;0.45;0.3327971145071551
2022-08-20 07:30:00;0.0;0.0;133.46402174961418;0.5;0.45;0.34781932250531633
2022-08-20 07:40:00;0.0;0.0;132.51961588541667;0.0;0.525;0.3787974162733212
2022-08-20 07:50:00;0.5;0.0;128.8640055941358;1.0;0.55;0.41939776387453254
2022-08-20 08:00:00;0.5;0.0;131.3970124421296;0.5;0.55;0.49199015011351765
2022-08-20 08:10:00;2.5;0.0;130.8468393132716;0.0;0.575;0.5707759871047321
2022-08-20 08:20:00;0.5;0.0;128.9578609664352;0.0;0.575;0.6679263388888051
2022-08-20 08:30:00;0.0;0.0;130.21878713348764;0.5;0.625;0.7885592709751068
2022-08-20 08:40:00;1.0;0.0;137.3588884066358;0.0;0.85;0.9371513189053899
2022-08-20 08:50:00;1.5;0.0;139.65714240933642;0.5;1.0;1.1192132101590522
2022-08-20 09:00:00;0.0;0.0;132.40215133101853;1.0;1.4;1.3694149504195257
2022-08-20 09:10:00;2.0;0.0;137.34208887924382;0.0;1.8;1.690898550724636
2022-08-20 09:20:00;0.5;0.0;136.02097776813272;0.0;2.15;2.065913043478259
2022-08-20 09:30:00;0.5;0.0;134.5443265335648;0.5;2.45;2.526763285024152
2022-08-20 09:40:00;1.5;0.0;136.0348471257716;0.0;3.0;3.055995169082122
2022-08-20 09:50:00;0.5;0.0;136.37278356481482;0.5;3.6;3.6543091787439566
2022-08-20 10:00:00;1.0;0.0;135.8553800154321;0.0;3.9;4.328410628019318
2022-08-20 10:10:00;4.5;0.0;141.13373480902777;0.0;4.725;5.070594202898544
2022-08-20 10:20:00;3.0;0.0;140.67076702353395;0.0;5.525;5.884956521739123
2022-08-20 10:30:00;8.0;0.0;137.09398823302467;0.5;6.45;6.759285024154581
2022-08-20 10:40:00;8.0;0.0;138.48412205825616;0.0;7.5;7.677415458937188
2022-08-20 10:50:00;7.0;0.0;140.8591271219136;0.5;8.85;8.61014492753622
2022-08-20 11:00:00;6.0;0.0;144.3263544077932;0.5;9.7;9.57213526570047
2022-08-20 11:10:00;11.5;0.0;138.46034336419754;0.5;10.5;10.554019323671483
2022-08-20 11:20:00;12.5;0.0;142.00029200424382;0.5;11.725;11.523845410628002
2022-08-20 11:30:00;8.5;0.0;141.48656153549382;0.5;12.525;12.496057971014475
2022-08-20 11:40:00;17.0;0.0;141.5929318576389;0.0;13.525;13.444106280193218
2022-08-20 11:50:00;16.0;0.0;140.7668448591821;1.0;14.6;14.361212560386452
2022-08-20 12:00:00;19.5;0.0;139.89569010416665;0.0;15.475;15.24191304347824
2022-08-20 12:10:00;22.5;0.0;139.54728443287036;0.0;16.325;16.039207729468576
2022-08-20 12:20:00;27.0;0.0;137.77056640625;0.0;16.925;16.766642512077272
2022-08-20 12:30:00;19.0;0.0;138.11421850887348;0.0;17.4;17.408304347826064
2022-08-20 12:40:00;16.5;0.0;137.35918354552467;0.0;17.85;17.961140096618333
2022-08-20 12:50:00;25.0;0.0;141.6124580439815;0.0;18.725;18.446971014492725
2022-08-20 13:00:00;17.5;0.0;146.13985170717592;0.0;19.025;18.903193236714948
2022-08-20 13:10:00;20.5;0.0;140.05089891975308;0.0;19.4;19.322115942028958
2022-08-20 13:20:00;22.5;0.0;142.66919391396607;0.0;20.1;19.690772946859877
2022-08-20 13:30:00;22.0;0.0;142.62746768904321;0.0;20.25;20.047719806763254
2022-08-20 13:40:00;20.0;0.0;140.57223355516976;0.5;20.4;20.371367149758427
2022-08-20 13:50:00;20.0;0.0;137.87025077160496;0.0;20.575;20.677275362318813
2022-08-20 14:00:00;17.5;0.0;139.4317255015432;1.0;20.6;20.97514009661833
2022-08-20 14:10:00;16.0;0.0;140.21179012345678;0.0;20.775;21.29569082125601
2022-08-20 14:20:00;23.5;0.0;141.23715760030865;0.5;21.025;21.611004830917842
2022-08-20 14:30:00;17.5;0.0;140.02804952739197;0.0;21.45;21.913342995169053
2022-08-20 14:40:00;20.0;0.0;138.8654692322531;1.0;22.1;22.187323671497552
2022-08-20 14:50:00;22.5;0.0;138.30141493055555;0.5;22.65;22.42936714975842
2022-08-20 15:00:00;20.0;0.0;136.92478829089504;1.0;23.075;22.697352657004796
2022-08-20 15:10:00;19.0;0.0;139.60712528935187;0.0;23.225;22.97266183574876
2022-08-20 15:20:00;23.0;0.0;138.50217230902777;1.0;23.525;23.2699371980676
