datetime;boats;birds;brightness;flag;boats_rolled;boats_polygon
2022-09-03 00:00:00;2.0;0.0;14.924699074074073;;1.5;1.442772389141822
2022-09-03 00:10:00;2.0;0.0;14.074612268518518;;1.4545454545454546;1.45749310518835
2022-09-03 00:20:00;2.0;0.0;13.655971498842593;;1.4166666666666667;1.46265051805236
2022-09-03 00:30:00;2.0;0.0;12.793738425925927;;1.3846153846153846;1.4591858305333687
2022-09-03 00:40:00;2.0;0.0;11.995497444058643;;1.3928571428571428;1.4480402454308934
2022-09-03 00:50:00;1.0;0.0;11.372516396604937;;1.4333333333333333;1.4301549655444512
2022-09-03 01:00:00;1.0;0.0;11.740713734567901;;1.4375;1.4064711936735592
2022-09-03 01:10:00;1.0;0.0;11.519994454089506;;1.4705882352941178;1.3779301326177344
2022-09-03 01:20:00;1.0;0.0;11.950746286651237;;1.4166666666666667;1.345472985176494
2022-09-03 01:30:00;1.0;0.0;11.63319203317901;;1.3421052631578947;1.3100409541493547
2022-09-03 01:40:00;1.0;0.0;11.119267457561728;;1.275;1.272575242335834
2022-09-03 01:50:00;1.0;0.0;11.306220582561728;;1.225;1.2340170525354488
2022-09-03 02:00:00;1.0;0.0;11.344739101080249;;1.175;1.1953075875477146
2022-09-03 02:10:00;1.5;0.0;11.216850163966047;;1.125;1.1712224806721359
2022-09-03 02:20:00;2.0;0.0;11.433829330632715;;1.075;1.1473020520569637
2022-09-03 02:30:00;1.5;0.0;11.254370177469136;;1.025;1.1261006373289975
2022-09-03 02:40:00;2.0;0.0;11.266489197530863;;1.025;1.097779514823429
2022-09-03 02:50:00;0.5;0.0;9.248180459104939;;1.0263157894736843;1.062524842987286
2022-09-03 03:00:00;0.0;0.0;9.476821469907408;;1.0277777777777777;1.0247673698165338
2022-09-03 03:10:00;0.0;0.0;9.887297694830247;;1.0294117647058822;0.9941047488653478
2022-09-03 03:20:00;1.0;0.0;10.715201581790122;;1.03125;
2022-09-03 03:30:00;1.0;0.0;10.00483241705247;;1.0333333333333334;
2022-09-03 03:40:00;1.0;0.0;9.30744140625;;1.0357142857142858;
2022-09-03 03:50:00;1.0;0.0;8.987730999228395;;1.0384615384615385;
2022-09-03 04:00:00;1.0;0.0;8.699707272376543;;1.0;
2022-09-03 04:10:00;1.0;0.0;8.704614679783951;;0.9090909090909091;
2022-09-03 04:20:00;;;;;0.85;
2022-09-03 04:30:00;;;;;0.7222222222222222;
2022-09-03 04:40:00;;;;;0.75;
2022-09-03 04:50:00;;;;;0.8571428571428571;
2022-09-03 05:00:00;;;;;1.0;
2022-09-03 05:10:00;;;;;1.0;
2022-09-03 05:20:00;;;;;;
2022-09-03 05:30:00;;;;;;
2022-09-03 05:40:00;;;;;;
2022-09-03 05:50:00;;;;;;
2022-09-03 06:00:00;;;;;;
2022-09-03 06:10:00;;;;;;
2022-09-03 06:20:00;;;;;;
2022-09-03 06:30:00;;;;;;
2022-09-03 06:40:00;;;;;;
2022-09-03 06:50:00;;;;;;
2022-09-03 07:00:00;;;;;;
2022-09-03 07:10:00;;;;;;
2022-09-03 07:20:00;;;;;;
2022-09-03 07:30:00;;;;;;
2022-09-03 07:40:00;;;;;;
2022-09-03 07:50:00;;;;;;
2022-09-03 08:00:00;;;;;;
2022-09-03 08:10:00;;;;;;
2022-09-03 08:20:00;;;;;;
2022-09-03 08:30:00;;;;;2.4;
2022-09-03 08:40:00;;;;;3.3333333333333335;
2022-09-03 08:50:00;;;;;4.357142857142857;
2022-09-03 09:00:00;;;;;5.3125;
2022-09-03 09:10:00;;;;;5.888888888888889;
2022-09-03 09:20:00;1.0;0.0;141.49557171103396;;6.75;
2022-09-03 09:30:00;1.0;0.0;141.0440998746142;;7.590909090909091;
2022-09-03 09:40:00;1.0;0.0;141.6873331404321;;8.333333333333334;
2022-09-03 09:50:00;2.5;0.0;139.02877700617285;;9.73076923076923;
