datetime;boats;birds;brightness;flag;boats_rolled;boats_polygon
2022-08-11 04:50:00;0.0;0.0;107.3451560088735;0.5;0.0;
2022-08-11 05:00:00;0.0;0.0;119.8710503472225;0.0;0.0;
2022-08-11 05:10:00;0.0;0.0;122.5880369888115;0.0;0.0;
2022-08-11 05:20:00;0.0;0.0;124.08584201388899;0.0;0.0;
2022-08-11 05:30:00;0.0;0.0;127.4566283275465;0.0;0.0;
2022-08-11 05:40:00;0.0;0.0;130.394042486497;1.0;0.0;
2022-08-11 05:50:00;;;;;0.0;
2022-08-11 06:00:00;;;;;0.0;
2022-08-11 06:10:00;;;;;0.0;
2022-08-11 06:20:00;;;;;0.0;
2022-08-11 06:30:00;;;;;0.0;
2022-08-11 06:40:00;;;;;0.0;
2022-08-11 06:50:00;;;;;;
2022-08-11 07:00:00;;;;;;
2022-08-11 07:10:00;;;;;;
2022-08-11 07:20:00;;;;;;
2022-08-11 07:30:00;;;;;;
2022-08-11 07:40:00;;;;;;
2022-08-11 07:50:00;;;;;;
2022-08-11 08:00:00;;;;;;
2022-08-11 08:10:00;;;;;;
2022-08-11 08:20:00;;;;;;
2022-08-11 08:30:00;;;;;;
2022-08-11 08:40:00;;;;;;
2022-08-11 08:50:00;;;;;;
2022-08-11 09:00:00;;;;;;
2022-08-11 09:10:00;;;;;;
2022-08-11 09:20:00;;;;;;
2022-08-11 09:30:00;;;;;;
2022-08-11 09:40:00;;;;;;
2022-08-11 09:50:00;;;;;;
2022-08-11 10:00:00;;;;;;
2022-08-11 10:10:00;;;;;;
2022-08-11 10:20:00;;;;;;
2022-08-11 10:30:00;;;;;;
2022-08-11 10:40:00;;;;;;
2022-08-11 10:50:00;;;;;;
2022-08-11 11:00:00;;;;;5.1;
2022-08-11 11:10:00;;;;;5.583333333333333;
2022-08-11 11:20:00;;;;;5.857142857142857;
2022-08-11 11:30:00;;;;;5.6875;
2022-08-11 11:40:00;;;;;6.222222222222222;
2022-08-11 11:50:00;5.0;0.0;132.463968942901;1.0;5.9;
2022-08-11 12:00:00;4.0;0.5;132.04119791666648;0.5;5.954545454545454;
2022-08-11 12:10:00;2.5;0.5;132.3053011670525;0.0;5.875;
2022-08-11 12:20:00;7.5;0.0;132.4072494695215;0.0;5.769230769230769;
2022-08-11 12:30:00;6.5;0.5;133.9762239583335;0.0;5.678571428571429;
2022-08-11 12:40:00;8.0;0.0;134.1362239583335;0.0;5.966666666666667;
2022-08-11 12:50:00;7.5;3.0;134.7316191647375;0.0;6.21875;
2022-08-11 13:00:00;4.5;0.0;136.538118248457;0.0;6.382352941176471;6.455099355874619
2022-08-11 13:10:00;10.5;0.5;135.1030577256945;0.0;6.583333333333333;6.572364721288401
2022-08-11 13:20:00;3.0;0.0;133.24716796874998;0.0;6.815789473684211;6.715882379494634
2022-08-11 13:30:00;6.5;0.5;131.399205729167;0.0;6.65;6.879932523730031
2022-08-11 13:40:00;5.0;0.0;131.6923582175925;0.0;6.975;7.035263486177709
2022-08-11 13:50:00;4.5;0.5;131.222468412423;0.0;7.3;7.236748627776246
2022-08-11 14:00:00;4.5;0.5;131.3388968460645;0.0;7.75;7.443839639346899
2022-08-11 14:10:00;10.0;0.5;131.454718123071;0.5;8.05;7.6655491593515785
2022-08-11 14:20:00;10.0;0.0;128.9532021604935;0.0;8.125;7.871776177689278
2022-08-11 14:30:00;9.0;5.0;132.840408950617;0.0;8.075;8.050104120595595
2022-08-11 14:40:00;10.0;0.0;133.204166666667;0.0;8.2;8.218833991415014
2022-08-11 14:50:00;11.0;0.0;133.744826388889;1.0;8.6;8.400086085311305
2022-08-11 15:00:00;3.5;0.0;131.92690779321;1.0;8.4;8.601351430579848
2022-08-11 15:10:00;11.5;0.0;132.7817621527775;1.0;8.85;8.778529027883708
2022-08-11 15:20:00;10.5;0.0;133.32282576196002;0.0;9.15;9.000986524281707
2022-08-11 15:30:00;11.5;0.0;133.115190007716;0.0;9.5;9.294637681159408
2022-08-11 15:40:00;13.5;0.0;134.5971052758485;0.0;9.95;9.629937198067621
2022-08-11 15:50:00;8.0;0.0;133.443484037423;0.5;10.3;10.0442995169082
2022-08-11 16:00:00;7.0;0.0;133.58800274884248;0.0;10.475;10.565425120772936
2022-08-11 16:10:00;10.0;0.0;135.2941579861115;0.0;10.775;11.247342995169067
2022-08-11 16:20:00;12.5;0.5;134.2267549189815;0.0;11.475;12.043285024154574
2022-08-11 16:30:00;6.5;0.0;134.9469666280865;0.0;12.475;12.982826086956504
2022-08-11 16:40:00;12.0;0.0;134.99865162037048;0.0;13.3;14.037164251207713
2022-08-11 16:50:00;12.5;0.0;135.72756775655898;0.5;14.3;15.221275362318819
2022-08-11 17:00:00;12.0;0.0;137.039495081019;1.0;15.4;16.513603864734275
2022-08-11 17:10:00;13.5;0.0;137.1818226755405;0.5;17.575;17.855792270531374
2022-08-11 17:20:00;11.5;0.0;136.520772328318;0.5;19.1;19.25069565217389
2022-08-11 17:30:00;13.5;0.0;137.69766372492302;0.0;20.5;20.688082125603838
2022-08-11 17:40:00;16.0;0.0;134.760841531636;0.5;22.175;22.143222222222192
2022-08-11 17:50:00;23.0;0.0;138.29526017554;0.0;23.95;23.59228985507243
2022-08-11 18:00:00;30.0;0.0;137.1794034529321;0.0;25.525;24.967004830917837
2022-08-11 18:10:00;27.5;0.0;138.4415400752315;0.0;26.4;26.193227053140056
2022-08-11 18:20:00;23.5;0.0;137.46476996527778;0.0;27.925;27.25433816425117
